text,label
ഇന്ത്യയിലെ ആദ്യത്തെ സ്വദേശീയ ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് (AI) ചിപ്പായ 'ആകാശ്' അവതരിപ്പിച്ചു. ഈ ചിപ്പ് വളരെ കുറഞ്ഞ ഊർജ്ജം മാത്രം ഉപയോഗിച്ച് സങ്കീർണ്ണമായ AI ടാസ്ക്കുകൾ നിർവഹിക്കാൻ സാധിക്കും. ഇത് സ്മാർട്ട്ഫോൺ മുതൽ ഡ്രോണുകൾ വരെയുള്ള ഉപകരണങ്ങളിൽ വിപ്ലവകരമായ മാറ്റം കൊണ്ടുവരുമെന്ന് ഡവലപ്പർമാർ പറയുന്നു.,3
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്മി' പുറത്തിറങ്ങി. കേരളത്തിലെ ഒരു സ്റ്റാർട്ടപ്പ് കമ്പനിയാണ് ഈ റോബോട്ട് വികസിപ്പിച്ചെടുത്തത്. മലയാളം ഉൾപ്പെടെ 100-ലധികം ഭാഷകൾ സംസാരിക്കാനും സങ്കീർണ്ണമായ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകാനും രാഷ്മിക്ക് കഴിയും. ഇത് ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് മേഖലയിലെ ഒരു പ്രധാന നേട്ടമായി കണക്കാക്കപ്പെടുന്നു.,3
"ടെസ്ല കമ്പനി അടുത്ത വർഷം ഇന്ത്യയിൽ അവരുടെ ഇലക്ട്രിക് വാഹനങ്ങൾക്കായുള്ള സൂപ്പർചാർജിംഗ് നെറ്റ്വർക്ക് വികസിപ്പിക്കാൻ പദ്ധതിയിടുന്നു. ഈ പദ്ധതിയുടെ ആദ്യഘട്ടമായി മുംബൈ, ഡൽഹി, ബെംഗളൂരു എന്നീ നഗരങ്ങളിൽ 20 സ്റ്റേഷനുകൾ സ്ഥാപിക്കും. ഇത് രാജ്യത്തെ ഇവി അടിസ്ഥാന സൗകര്യങ്ങൾ ശക്തിപ്പെടുത്തുകയും ശുദ്ധമായ ഊർജ്ജത്തിലേക്കുള്ള മാറ്റത്തെ ത്വരിതപ്പെടുത്തുകയും ചെയ്യും.",3
"ഇന്ത്യയിൽ ആദ്യമായി 5ജി സേവനം ആരംഭിച്ചു. ടെലികോം കമ്പനികൾ ഈ സേവനം രാജ്യത്തെ പ്രധാന നഗരങ്ങളിൽ ആദ്യം എത്തിക്കും. പുതിയ ടെക്‌നോളജി ഇന്റർനെറ്റ് വേഗതയിൽ വൻ കുതിച്ചുചാട്ടമുണ്ടാക്കും, ഇത് രോഗനിർണയം, വിദ്യാഭ്യാസം തുടങ്ങിയ മേഖലകളിൽ വിപ്ലവകരമായ മാറ്റങ്ങൾക്ക് വഴിതെളിയിക്കും.",3
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്ട്രപതി ദ്രൗപദി മുർമു' ഐഐടി ബോംബെയിലെ ഗവേഷകർ നിർമിച്ചു. 'ആദി' എന്ന് നാമകരണം ചെയ്യപ്പെട്ട ഈ റോബോട്ടിന് ഒൻപത് ഭാഷകളിൽ സംസാരിക്കാനും ഇന്ത്യൻ ഭാഷകളിൽ സംവാദം നടത്താനും കഴിയും. ഇത് രാജ്യത്തെ കൃത്രിമബുദ്ധി ഗവേഷണത്തിലെ ഒരു പ്രധാന മൈലുകായമാണ്.,3
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്ട്രിയ' പുറത്തിറക്കി ഐഐടി ബോംബെ. സ്ത്രീ രൂപത്തിലുള്ള ഈ റോബോട്ടിന് മലയാളം ഉൾപ്പെടെ  ഇന്ത്യൻ ഭാഷകൾ സംസാരിക്കാനും ആശയവിനിമയം നടത്താനും കഴിയും. ഇത് ഗ്രാമീണ പ്രദേശങ്ങളിൽ സേവനം നൽകുന്നതിനായി വികസിപ്പിച്ചെടുത്തതാണ്.,3
"ഇന്ത്യയിലെ ആദ്യത്തെ സാങ്കേതിക കേന്ദ്രമായ 'ഭാരത് AI' ന്യൂഡൽഹിയിൽ ഉദ്ഘാടനം ചെയ്തു. കൃത്രിമബുദ്ധി, ഡാറ്റാ അനലിറ്റിക്സ് തുടങ്ങിയ മേഖലകളിൽ ഗവേഷണം ത്വരിതപ്പെടുത്താനാണ് ഈ കേന്ദ്രം ലക്ഷ്യമിടുന്നത്. സർക്കാർ, വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾ, സ്റ്റാർട്ടപ്പുകൾ എന്നിവർക്കിടയിൽ സഹകരണം വർദ്ധിപ്പിക്കുക എന്നതും ലക്ഷ്യമാണ്.",3
ടെസ്ല കമ്പനിയുടെ പുതിയ സെൽഫ് ഡ്രൈവിംഗ് സോഫ്റ്റ്വെയർ അപ്ഡേറ്റ് ഇന്ത്യയിൽ ലഭ്യമായി. ഈ സവിശേഷത ഓട്ടോപൈലറ്റ് സംവിധാനത്തിന്റെ കൃത്യത ഗണ്യമായി വർദ്ധിപ്പിക്കുമെന്ന് കമ്പനി പറയുന്നു. ഇത് ട്രാഫിക്കിലെ സങ്കീർണ്ണമായ സാഹചര്യങ്ങൾ നേരിടാനുള്ള കാറിന്റെ കഴിവിനെ മെച്ചപ്പെടുത്തുന്നു.,3
ഇന്ത്യയിലെ ആദ്യത്തെ സ്പേസ് ടൂറിസം മിഷനായ 'ഗഗന്യാൻ' 2025-ല്‍ വിക്ഷേപിക്കും എന്ന് ഇസ്‌റോ അറിയിച്ചു. രണ്ട് ഇന്ത്യക്കാരെ ഭൂമിയുടെ താഴ്ന്ന ഭ്രമണപഥത്തിലേക്ക് കൊണ്ടുപോകാനാണ് ഈ ചരിത്രപ്രധാനമായ യാത്ര ലക്ഷ്യം വച്ചിരിക്കുന്നത്. ഇത് രാജ്യത്തെ ബഹിരാകാശ സാങ്കേതിക വിദ്യയില്‍ ഒരു പുതിയ യുഗം ഉണ്ടാക്കും.,3
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'അയ്മൻ' ഐഐടി മദ്രാസിൽ അവതരിപ്പിച്ചു. ഇന്ത്യൻ ഭാഷകളിൽ സംസാരിക്കാനും സങ്കീർണ്ണമായ ജോലികൾ ചെയ്യാനും ഇതിന് സാധിക്കും. ഇന്ത്യൻ ടെക് വിപ്ലവത്തിന്റെ പുതിയ അധ്യായമാണ് ഇതെന്ന് ശാസ്ത്രജ്ഞർ പറയുന്നു.,3
