text,label
പ്രശസ്ത സംവിധായകൻ ലിജോ ജോസ് പെല്ലിശ്ശേരി തന്റെ അടുത്ത ചിത്രം പ്രഖ്യാപിച്ചു. 'മഞ്ഞവാഴ' എന്ന ഈ ചിത്രത്തിൽ മോഹന്ലാൽ മുഖ്യകഥാപാത്രത്തെ അവതരിപ്പിക്കും. ചിത്രീകരണം ഈ വർഷം അവസാനത്തിലാരംഭിക്കും എന്ന് ലിജോ അറിയിച്ചു. ഈ ചിത്രത്തിന് വലിയ പ്രതീക്ഷയാണ് ചലച്ചിത്ര രസികർ.,0
"പ്രശസ്ത സംവിധായിക ജിയോ ബേബി തന്റെ അടുത്ത ചിത്രം 'ഉദയം' ഔദ്യോഗികമായി പ്രഖ്യാപിച്ചു. മമ്മൂട്ടി നായകനാകുന്ന ഈ ചിത്രത്തിന്റെ ചിത്രീകരണം അടുത്ത മാസം തുടങ്ങും. ജിയോയുടെ മുൻപിലത്തെ ചിത്രമായ 'ജന.ഗണ.മന' വൻ വിജയമായിരുന്നു, അതിനാൽ ഈ പുതിയ സംരംഭത്തോട് ആരാധകർ വലിയ പ്രതീക്ഷകൾ വെച്ചിരിക്കുന്നു.",0
"പ്രശസ്ത സംവിധായിക ഗൗരി ശിന്ദെയുടെ പുതിയ ചിത്രം 'ചന്ദ്രമുഖി 2' അടുത്ത മാസം റിലീസ് ചെയ്യും. മോഹൻലാൽ, കാജൽ അഗർവാൽ എന്നിവരാണ് ചിത്രത്തിലെ പ്രധാന കഥാപാത്രങ്ങളെ അവതരിപ്പിക്കുന്നത്. ഈ ഹൊറർ ത്രില്ലർ ചിത്രത്തിന് ആദ്യഭാഗത്തെപ്പോലെ വൻ വിജയം കൈവരിക്കുമെന്നാണ് പ്രതീക്ഷിക്കുന്നത്.",0
പ്രശസ്ത സംവിധായകൻ ലിജോ ജോസ് പെല്ലിശ്ശേരി തന്റെ അടുത്ത ചിത്രം ഔദ്യോഗികമായി പ്രഖ്യാപിച്ചു. 'മഹാരാജ' എന്ന ഈ ചിത്രത്തിൽ മലയാള സിനിമയുടെ മെഗാസ്റ്റാർ മമ്മൂട്ടി നായക പാത്രത്തിൽ അരങ്ങേറുന്നു. ഈ ചിത്രത്തിന്റെ ഷൂട്ടിംഗ് അടുത്ത മാസം തുടങ്ങും എന്ന് ഉത്പാദകർ അറിയിച്ചു. ചിത്രത്തിന്റെ ശബ്ദട്രാക്ക് സംഗീത ദിഗ്ദർശകൻ ദീപക് ദേവ് ആണ് നിർവ്വഹിക്കുന്നത്.,0
"പ്രശസ്ത സംവിധായിക ഗൗരി ശിന്ദെയുടെ പുതിയ ചിത്രം 'മിന്നൽ' ഈ വർഷാവസാനത്തോടെ ചിത്രീകരണം പൂർത്തിയാക്കും. മമ്മൂട്ടി, നസ്രിയ നസീം എന്നിവരാണ് പ്രധാന കഥാപാത്രങ്ങളെ അവതരിപ്പിക്കുന്നത്. ചിത്രത്തിന്റെ ഔദ്യോഗിക ടീസർ അടുത്ത വാരാന്ത്യത്തിൽ പുറത്തിറക്കും എന്ന് നിർമ്മാതാക്കൾ പ്രഖ്യാപിച്ചു.",0
പ്രശസ്ത സംവിധായിക ഗൗതമി തിരുമേനി അടുത്തതായി ഒരു ചിത്രം സംവിധാനം ചെയ്യുന്നുണ്ട്. ഈ ചിത്രത്തിൽ മോഹൻലാൽ നായകനായി അഭിനയിക്കും എന്നാണ് വാർത്തകൾ. ഇത് രണ്ട് മഹാരഥരുടെയും രണ്ട് ദശാബ്ദങ്ങൾക്ക് ശേഷമുള്ള ഒരു കൂടിക്കാഴ്ചയായിരിക്കും. ചിത്രത്തിന്റെ ഔദ്യോഗിക പ്രഖ്യാപനം അടുത്ത ആഴ്ചയിലാകുമെന്ന് പ്രൊഡക്ഷൻ ഹൗസ് വ്യക്തമാക്കി.,0
മലയാള സിനിമാ ലോകത്തെ ഒരു സന്തോഷവാർത്തയാണ്. നടൻ ഫഹദ് ഫാസിലും നടി നസ്രിയയും ചേർന്ന് നിർമ്മിക്കുന്ന പുതിയ ചിത്രം 'എന്റെ വീട്' ആഗസ്റ്റ് മാസത്തിൽ റിലീസ് ചെയ്യും എന്ന് സംവിധായകൻ ജീവു ജെക്കോബ് വ്യക്തമാക്കി. ഈ ചിത്രം ഒരു കുടുംബം ചുറ്റിപ്പറ്റിയുള്ള ഹൃദ്യമായ കഥയാകുമെന്നാണ് പ്രതീക്ഷിക്കുന്നത്.,0
മലയാള സിനിമാ ലോകത്തെ പ്രശസ്ത നടി നിവേദ തോമസ് അടുത്തതായി ഒരു പുതിയ ചിത്രത്തിൽ അഭിനയിക്കുന്നു. യുവനടൻ തോവിനോ തോമസുമായി ചേർന്നാണ് ഈ ചിത്രം. ആക്ഷൻ ത്രില്ലർ ആയ ഈ പ്രോജക്റ്റ് സംവിധാനം ചെയ്യുന്നത് ജീവൻ ജോസഫ് ആണ്. ചിത്രീകരണം അടുത്ത മാസം തുടങ്ങും എന്ന് ഡയറക്ടർ പറഞ്ഞു.,0
"മലയാള സിനിമാ ലോകത്തെ വലിയ വാർത്ത: ചലച്ചിത്ര നിർമ്മാതാവ് ആന്റണി പെരുമ്പാവൂർ, സംവിധായകൻ ജീതു ജോസഫ് എന്നിവർ ചേർന്ന് പുതിയ ചിത്രം പ്രഖ്യാപിച്ചു. മോഹൻലാൽ ആണ് ഈ ചിത്രത്തിലെ പ്രധാന കഥാപാത്രത്തെ അവതരിപ്പിക്കുന്നത്. ഈ വർഷം അവസാനത്തിലാണ് ചിത്രീകരണം ആരംഭിക്കുന്നതെന്ന് ഉത്പാദന കമ്പനി വ്യക്തമാക്കിയിട്ടുണ്ട്. ഈ സംയോജനം ആരാധകരിൽ വലിയ പ്രതീക്ഷ ജനിപ്പിച്ചു.",0
പ്രശസ്ത സംവിധായിക ഗൗതം വാസുദേവ് മേനോൻ ചിത്രീകരിച്ചുകൊണ്ടിരിക്കുന്ന പുതിയ ചലച്ചിത്രം 'മലർവാടി' ഈ വർഷം ഓഗസ്റ്റ് മാസത്തിൽ തിയേറ്ററുകളിൽ എത്തും. മുഖ്യ കഥാപാത്രങ്ങളെ അരങ്ങേറ്റം ചെയ്യുന്നത് ഫഹദ് ഫാസിലും നസ്രിയ നസീമും ആണ്. ഈ ചിത്രത്തിന്റെ ഔദ്യോഗിക ട്രെയിലർ അടുത്ത വെള്ളിയാഴ്ച പുറത്തിറക്കും എന്ന് നിർമ്മാതാക്കൾ പറഞ്ഞു.,0
